team,player,total_runs,total_wickets,format
Zimbabwe,BJ Bennett,24,0,Test
Zimbabwe,BJ Curran,24,0,Test
Zimbabwe,NR Welch,31,0,Test
Zimbabwe,SC Williams,51,0,Test
Zimbabwe,CR Ervine,61,0,Test
Zimbabwe,Sikandar Raza,7,0,Test
Zimbabwe,TE Tsiga,57,0,Test
Zimbabwe,NT Nyamhuri,10,0,Test
Zimbabwe,V Masekesa,9,0,Test
Zimbabwe,B Muzarabani,20,0,Test
Zimbabwe,TL Chivanga,0,0,Test
New Zealand,WA Young,41,0,Test
New Zealand,DP Conway,92,0,Test
New Zealand,HM Nicholls,38,0,Test
New Zealand,R Ravindra,2,0,Test
New Zealand,DJ Mitchell,80,0,Test
New Zealand,TA Blundell,2,0,Test
New Zealand,MG Bracewell,9,0,Test
New Zealand,MJ Santner,19,0,Test
New Zealand,NG Smith,22,0,Test
New Zealand,MJ Henry,5,0,Test
New Zealand,W O'Rourke,0,0,Test
Zimbabwe,MJ Henry,0,219,Test
Zimbabwe,W O'Rourke,0,140,Test
Zimbabwe,NG Smith,0,84,Test
Zimbabwe,MJ Santner,0,199,Test
Zimbabwe,MG Bracewell,0,102,Test
New Zealand,B Muzarabani,0,156,Test
New Zealand,TL Chivanga,0,109,Test
New Zealand,NT Nyamhuri,0,105,Test
New Zealand,Sikandar Raza,0,120,Test
New Zealand,SC Williams,0,48,Test
New Zealand,V Masekesa,0,54,Test
Zimbabwe,DJ Mitchell,0,24,Test
Zimbabwe,CT Dhururu,12,0,ODI
Zimbabwe,K Ndlovu,0,0,ODI
Zimbabwe,L Tshuma,4,0,ODI
Zimbabwe,CS Mugeri-Tiripano,56,0,ODI
Zimbabwe,B Biza,4,0,ODI
Zimbabwe,M Mupachikwa,45,0,ODI
Zimbabwe,R Pasipanodya,11,0,ODI
Zimbabwe,N Gwanzura,14,0,ODI
Zimbabwe,M Mavunga,1,0,ODI
Zimbabwe,F Chipare,0,0,ODI
Ireland,S Forbes,2,0,ODI
Ireland,A Hunter,14,0,ODI
Ireland,GH Lewis,44,0,ODI
Ireland,O Prendergast,67,0,ODI
Ireland,L Delany,18,0,ODI
Ireland,L Paul,7,0,ODI
Ireland,L Little,1,0,ODI
Ireland,A Canning,14,0,ODI
Zimbabwe,O Prendergast,0,50,ODI
Zimbabwe,A Dalzell,0,70,ODI
Zimbabwe,A Canning,0,53,ODI
Zimbabwe,L Little,0,27,ODI
Zimbabwe,LA McBride,0,44,ODI
Zimbabwe,C Murray,0,50,ODI
Zimbabwe,L Delany,0,18,ODI
Zimbabwe,L Paul,0,6,ODI
Ireland,K Chigora,0,45,ODI
Ireland,F Chipare,0,52,ODI
Ireland,K Ndlovu,0,35,ODI
Ireland,M Mavunga,0,37,ODI
Ireland,L Tshuma,0,60,ODI
Ireland,B Biza,0,14,ODI
Croatia,S Houghton,4,0,T20
Croatia,ZXM Vukusic,23,0,T20
Croatia,OSB Tilley,4,0,T20
Croatia,JM Vujinovich,23,0,T20
Croatia,Saghar Manzoor,5,0,T20
Croatia,H Satheedevi,34,0,T20
Croatia,A Beresford-Peirse,1,0,T20
Croatia,C Bevin,6,0,T20
Croatia,H Beresford-Peirse,7,0,T20
Croatia,A Razmilic,6,0,T20
Croatia,A Magdalenic,0,0,T20
Cyprus,R Mazumder,36,0,T20
Cyprus,AA Senn,5,0,T20
Cyprus,S Burdekin,5,0,T20
Cyprus,MPGT Ketiyage,64,0,T20
Cyprus,Adam Senn,8,0,T20
Croatia,Lovedeep Singh,0,27,T20
Croatia,Hardeep Singh,0,12,T20
Croatia,R Siriwardena,0,19,T20
Croatia,Waqar Ali,0,26,T20
Croatia,Adam Senn,0,18,T20
Croatia,S Austin,0,26,T20
Cyprus,A Beresford-Peirse,0,26,T20
Cyprus,ZXM Vukusic,0,21,T20
Cyprus,C Bevin,0,13,T20
Cyprus,JM Vujinovich,0,13,T20
Cyprus,H Satheedevi,0,13,T20
Cyprus,H Beresford-Peirse,0,15,T20
Cyprus,OSB Tilley,0,6,T20
Punjab Kings,Priyansh Arya,6,0,IPL
Punjab Kings,P Simran Singh,28,0,IPL
Punjab Kings,JP Inglis,32,0,IPL
Punjab Kings,SS Iyer,53,0,IPL
Punjab Kings,N Wadhera,16,0,IPL
Punjab Kings,Shashank Singh,11,0,IPL
Punjab Kings,MP Stoinis,44,0,IPL
Punjab Kings,Azmatullah Omarzai,1,0,IPL
Punjab Kings,M Jansen,0,0,IPL
Punjab Kings,Harpreet Brar,7,0,IPL
Delhi Capitals,KL Rahul,35,0,IPL
Delhi Capitals,F du Plessis,23,0,IPL
Delhi Capitals,KK Nair,44,0,IPL
Delhi Capitals,Sediqullah Atal,22,0,IPL
Delhi Capitals,Sameer Rizvi,58,0,IPL
Delhi Capitals,T Stubbs,18,0,IPL
Punjab Kings,Mukesh Kumar,0,28,IPL
Punjab Kings,Mustafizur Rahman,0,24,IPL
Punjab Kings,MM Sharma,0,26,IPL
Punjab Kings,V Nigam,0,25,IPL
Punjab Kings,Kuldeep Yadav,0,25,IPL
Delhi Capitals,Arshdeep Singh,0,24,IPL
Delhi Capitals,Azmatullah Omarzai,0,24,IPL
Delhi Capitals,Harpreet Brar,0,25,IPL
Delhi Capitals,M Jansen,0,26,IPL
Delhi Capitals,P Dubey,0,12,IPL
Delhi Capitals,MP Stoinis,0,10,IPL
