team,player,total_runs,total_wickets,format
Zimbabwe,CT Dhururu,12,0,ODI
Zimbabwe,K Ndlovu,0,0,ODI
Zimbabwe,L Tshuma,4,0,ODI
Zimbabwe,CS Mugeri-Tiripano,56,0,ODI
Zimbabwe,B Biza,4,0,ODI
Zimbabwe,M Mupachikwa,45,0,ODI
Zimbabwe,R Pasipanodya,11,0,ODI
Zimbabwe,N Gwanzura,14,0,ODI
Zimbabwe,M Mavunga,1,0,ODI
Zimbabwe,F Chipare,0,0,ODI
Ireland,S Forbes,2,0,ODI
Ireland,A Hunter,14,0,ODI
Ireland,GH Lewis,44,0,ODI
Ireland,O Prendergast,67,0,ODI
Ireland,L Delany,18,0,ODI
Ireland,L Paul,7,0,ODI
Ireland,L Little,1,0,ODI
Ireland,A Canning,14,0,ODI
Zimbabwe,O Prendergast,0,50,ODI
Zimbabwe,A Dalzell,0,70,ODI
Zimbabwe,A Canning,0,53,ODI
Zimbabwe,L Little,0,27,ODI
Zimbabwe,LA McBride,0,44,ODI
Zimbabwe,C Murray,0,50,ODI
Zimbabwe,L Delany,0,18,ODI
Zimbabwe,L Paul,0,6,ODI
Ireland,K Chigora,0,45,ODI
Ireland,F Chipare,0,52,ODI
Ireland,K Ndlovu,0,35,ODI
Ireland,M Mavunga,0,37,ODI
Ireland,L Tshuma,0,60,ODI
Ireland,B Biza,0,14,ODI
