team,player,total_runs,total_wickets,format
Croatia,S Houghton,4,0,T20
Croatia,ZXM Vukusic,23,0,T20
Croatia,OSB Tilley,4,0,T20
Croatia,JM Vujinovich,23,0,T20
Croatia,Saghar Manzoor,5,0,T20
Croatia,H Satheedevi,34,0,T20
Croatia,A Beresford-Peirse,1,0,T20
Croatia,C Bevin,6,0,T20
Croatia,H Beresford-Peirse,7,0,T20
Croatia,A Razmilic,6,0,T20
Croatia,A Magdalenic,0,0,T20
Cyprus,R Mazumder,36,0,T20
Cyprus,AA Senn,5,0,T20
Cyprus,S Burdekin,5,0,T20
Cyprus,MPGT Ketiyage,64,0,T20
Cyprus,Adam Senn,8,0,T20
Croatia,Lovedeep Singh,0,27,T20
Croatia,Hardeep Singh,0,12,T20
Croatia,R Siriwardena,0,19,T20
Croatia,Waqar Ali,0,26,T20
Croatia,Adam Senn,0,18,T20
Croatia,S Austin,0,26,T20
Cyprus,A Beresford-Peirse,0,26,T20
Cyprus,ZXM Vukusic,0,21,T20
Cyprus,C Bevin,0,13,T20
Cyprus,JM Vujinovich,0,13,T20
Cyprus,H Satheedevi,0,13,T20
Cyprus,H Beresford-Peirse,0,15,T20
Cyprus,OSB Tilley,0,6,T20
